"work_item_id","acquisition_rank","ds_id","frozen_work_state","current_work_state","acquisition_state","screening_decision","provisional_tier","status_evidence_path","status_detail"
"REGISTER:DS06",1,"DS06","not_started","complete","acquired_and_record_screened","pending","A","metadata/stage2/screening/ds06_smhi_shark_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS26",2,"DS26","not_started","complete","acquired_and_record_screened","secondary","B","metadata/stage2/screening/ds26_smhi_ifcb_screening_summary.csv","Acquisition and record screening are complete at the dataset level with decision 'secondary'."
"REGISTER:DS02",3,"DS02","not_started","complete","acquired_and_record_screened","pending","A","metadata/stage2/screening/ds02_rws_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS04",4,"DS04","not_started","complete","acquired_and_record_screened","pending","A","metadata/stage2/screening/ds04_plet_bsh_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS05",5,"DS05","not_started","complete","acquired_and_record_screened","pending","A","metadata/stage2/screening/ds05_plet_novana_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS07",6,"DS07","not_started","complete","acquired_and_record_screened","pending","A","metadata/stage2/screening/ds07_plet_cefas_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS08",7,"DS08","not_started","unavailable","temporarily_unavailable","not_assessed","A","metadata/stage2/control/access_dispositions.csv","DS08 is unavailable in the current Stage 2 pass. No login HTML is parsed as observations and no carbon-share evidence is claimed. Email is required because: Licence and moratorium terms for carbon- and biovolume-resolved Helgoland Roads children. Reason: The restricted carbon and biovolume children are the only identified direct route to lifeform carbon shares; the attempted parent-series abundance ZIP returned a login page."
"REGISTER:DS03",8,"DS03","not_started","complete","acquired_and_record_screened","pending","C","metadata/stage2/screening/ds03_eurobis_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS23",9,"DS23","not_started","unavailable","temporarily_unavailable","not_assessed","C","metadata/stage2/control/access_dispositions.csv","The Wadden Sea coastal sector is a gap until data is provided. Email is required because: Wadden Sea long-term phytoplankton data. Reason: Important coastal reference time series for Wadden Sea"
"REGISTER:DS16",10,"DS16","not_started","complete","acquired_and_record_screened","pending","C","metadata/stage2/screening/ds16_plet_stonehaven_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS10",11,"DS10","not_started","complete","acquired_and_record_screened","pending","C","metadata/stage2/screening/ds10_plet_vliz_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS11",12,"DS11","not_started","complete","acquired_and_record_screened","pending","E","metadata/stage2/screening/ds11_plet_chlorophyll_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS09",13,"DS09","not_started","complete","acquired_and_record_screened","pending","D","metadata/stage2/screening/ds09_pangaea_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS24",14,"DS24","not_started","complete","acquired_and_record_screened","pending","E","metadata/stage2/screening/ds24_figshare_screening_summary.csv","Stage 2 acquisition and record screening are complete. Scientific inclusion remains pending for the later observation-only audits stated in the dataset summary."
"REGISTER:DS27",15,"DS27","not_started","complete","acquired_and_record_screened","secondary","E","metadata/stage2/screening/ds27_ferrybox_screening_summary.csv","Acquisition and record screening are complete at the dataset level with decision 'secondary'."
"REGISTER:DS28",16,"DS28","not_started","unavailable","temporarily_unavailable","not_assessed","E","metadata/stage2/control/access_dispositions.csv","DS28 is unavailable in the current Stage 2 pass and contributes no pigment or haptophyte evidence. Email is required because: Exact HPLC series identity, DOI or API/IPT route, licence, pigment methods, and coordinates. Reason: The narrative candidate lacks an exact machine-actionable identity, so no observation payload or legal terms can be tied specifically to the claimed HPLC/CHEMTAX series."
"REGISTER:DS15",17,"DS15","not_started","complete","acquired_and_record_screened","secondary","not_applicable","metadata/stage2/screening/ds15_emodnet_erddap_screening_summary.csv","Acquisition and record screening are complete at the dataset level with decision 'secondary'."
"REGISTER:DS22",18,"DS22","not_started","complete","acquired_and_record_screened","secondary","not_applicable","metadata/stage2/screening/ds22_ices_figshare_screening_summary.csv","Acquisition and record screening are complete at the dataset level with decision 'secondary'."
"REGISTER:DS12",19,"DS12","not_started","complete","acquired_and_record_screened","secondary","D","metadata/stage2/screening/ds12_cpr_screening_summary.csv","Acquisition and record screening are complete at the dataset level with decision 'secondary'."
