"ds_id","monitoring_network","independence_unit","duplicate_family","work_state","stage2_tier","stage3_scope","status_evidence_path","stage4_role","stage5_action","reference_route","independent_primary_network","final_primary_eligibility","phy_c_inspected"
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","complete","A","primary_candidate","metadata/stage2/screening/ds06_smhi_shark_screening_summary.csv","primary_direct_carbon_anchor","priority_harmonization","direct_carbon_or_biovolume_anchor",TRUE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS26","SMHI_IFCB","SMHI_IFCB","DS26","complete","B","lifeform_method_secondary","metadata/stage2/screening/ds26_smhi_ifcb_screening_summary.csv","lifeform_method_secondary","secondary_method_harmonization","secondary_or_comparator_not_primary_truth",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS02","RWS_MWTL","RWS_MWTL","RWS_MWTL","complete","A","primary_candidate","metadata/stage2/screening/ds02_rws_screening_summary.csv","primary_conversion_candidate","priority_harmonization_and_conversion_audit","taxon_abundance_requires_stage5_carbon_conversion",TRUE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS04","BSH","BSH","DS04","complete","A","primary_candidate","metadata/stage2/screening/ds04_plet_bsh_screening_summary.csv","primary_conversion_candidate","priority_harmonization_and_conversion_audit","taxon_abundance_requires_stage5_carbon_conversion",TRUE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS05","NOVANA","NOVANA","DS05","complete","A","primary_candidate","metadata/stage2/screening/ds05_plet_novana_screening_summary.csv","primary_conversion_candidate","priority_harmonization_and_conversion_audit","taxon_abundance_requires_stage5_carbon_conversion",TRUE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS07","CEFAS_SMARTBUOY","CEFAS_SMARTBUOY","DS07","complete","A","primary_candidate","metadata/stage2/screening/ds07_plet_cefas_screening_summary.csv","primary_conversion_candidate","priority_harmonization_and_conversion_audit","taxon_abundance_requires_stage5_carbon_conversion",TRUE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS08","AWI_HELGOLAND","AWI_HELGOLAND","DS08","unavailable","A","unavailable","metadata/stage2/control/access_dispositions.csv","unavailable","no_current_stage5_input","unavailable",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS03","RWS_MWTL","RWS_MWTL","RWS_MWTL","complete","C","primary_candidate_duplicate_audit","metadata/stage2/screening/ds03_eurobis_screening_summary.csv","duplicate_audit_secondary","deduplicate_against_DS02","secondary_or_comparator_not_primary_truth",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS23","NIOZ_MARSDIEP","NIOZ_MARSDIEP","DS23","unavailable","C","unavailable","metadata/stage2/control/access_dispositions.csv","unavailable","no_current_stage5_input","unavailable",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS16","MSS_STONEHAVEN","MSS_STONEHAVEN","DS16","complete","C","primary_candidate","metadata/stage2/screening/ds16_plet_stonehaven_screening_summary.csv","primary_conversion_candidate","priority_harmonization_and_conversion_audit","taxon_abundance_requires_stage5_carbon_conversion",TRUE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS10","VLIZ_LIFEWATCH","VLIZ_LIFEWATCH","DS10","complete","C","lifeform_secondary","metadata/stage2/screening/ds10_plet_vliz_screening_summary.csv","lifeform_secondary","secondary_method_harmonization","secondary_or_comparator_not_primary_truth",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS11","VLIZ_LIFEWATCH","VLIZ_LIFEWATCH","DS11","complete","E","comparator","metadata/stage2/screening/ds11_plet_chlorophyll_screening_summary.csv","chlorophyll_comparator","defer_to_comparator_harmonization","secondary_or_comparator_not_primary_truth",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS09","AWI_SYLT","AWI_SYLT","DS09","complete","D","exploratory","metadata/stage2/screening/ds09_pangaea_screening_summary.csv","exploratory_observation","defer_unless_primary_gap_requires","secondary_or_comparator_not_primary_truth",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS24","ICES_OSPAR_COMP4","ICES_OSPAR_COMP4","DS24","complete","E","comparator","metadata/stage2/screening/ds24_figshare_screening_summary.csv","chlorophyll_nutrient_comparator","defer_to_comparator_harmonization","secondary_or_comparator_not_primary_truth",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS27","HEREON_FERRYBOX","HEREON_FERRYBOX","DS27","complete","E","comparator","metadata/stage2/screening/ds27_ferrybox_screening_summary.csv","chlorophyll_comparator","defer_to_comparator_harmonization","secondary_or_comparator_not_primary_truth",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS28","VLIZ_LIFEWATCH","VLIZ_LIFEWATCH","DS28","unavailable","E","unavailable","metadata/stage2/control/access_dispositions.csv","unavailable","no_current_stage5_input","unavailable",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS15","EMODNET_DERIVED","EMODNET_DERIVED","DS15","complete","not_applicable","exploratory_product","metadata/stage2/screening/ds15_emodnet_erddap_screening_summary.csv","exploratory_derived_product","no_observation_harmonization","secondary_or_comparator_not_primary_truth",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
"DS22","HELCOM_PEG","HELCOM_PEG","DS22","complete","not_applicable","conversion_authority","metadata/stage2/screening/ds22_peg_bvol_screening_summary.csv","required_conversion_authority","required_for_stage5_conversion","conversion_coefficient_authority",FALSE,"pending_stage5_compatibility_and_stage6_outcomes",FALSE
