"acquisition_rank","ds_id","name","priority_score","acquisition_status","availability","licence_action","declared_tier","declared_domain","declared_cmems_overlap","retained_rows","rows_open_licence","rows_licence_unverified","rows_contact_required","canonical_families","sources","planned_role","register_section"
1,"DS06","SMHI Kattegat/Skagerrak",25.5,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","A/B","transition","yes",8,0,8,0,8,"PLET","Tier A/B external-transfer reference","6.1 and 12.3"
2,"DS26","SMHI IFCB imaging",24,"queued_for_stage2_acquisition","open_route_archived","open_licence_recorded","B","transition","yes",7,7,0,0,7,"GBIF; OBIS","Tier B external-transfer and temporal-resolution benchmark","12.2"
3,"DS02","RWS phytoplankton",23,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","C","core","yes",1,0,1,0,1,"PLET","primary core if biomass conversion passes","6.1"
4,"DS04","BSH phytoplankton",23,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","C","core","yes",2,0,2,0,2,"PLET","primary if Tier B/C, else lifeform validation","6.1"
5,"DS05","NOVANA phytoplankton",23,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","C","core","yes",1,0,1,0,1,"PLET","primary or lifeform validation","6.1"
6,"DS07","Cefas SmartBuoy",23,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","C","core","yes",6,1,5,0,5,"Cefas Data Hub/DASSH; OBIS; PLET","Tier C core for eligible North Sea stations","6.1 and 12.3"
7,"DS08","Helgoland Roads",23,"queued_open_subset_only","partially_open","open_licence_recorded","A","core_margin","unknown",417,128,0,289,409,"GBIF; ICES Figshare; OBIS; PANGAEA","Tier A sentinel; only identified source of lifeform carbon share","6.1 and 12.3"
8,"DS03","Dutch long-term monitoring",22,"queued_for_stage2_acquisition","open_route_archived","open_licence_recorded","C","core","partial",4,4,0,0,3,"GBIF; OBIS","primary/core historical extension","6.1"
9,"DS23","NIOZ Wadden Sea phytoplankton",22,"queued_for_stage2_acquisition","open_route_archived","open_licence_recorded","C","core_margin","yes",1,1,0,0,1,"GBIF","external coastal sentinel; duplicate check against DS02/DS03","12.2"
10,"DS16","Scottish Coastal Observatory Stonehaven",21,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","C","core_margin","partial",3,0,3,0,3,"Marine Scotland; PLET","external-transfer validation; flow cytometry addresses pico/nano gap","6.2 and 12.3"
11,"DS10","VLIZ LifeWatch FlowCam",20,"queued_for_stage2_acquisition","open_route_archived","open_licence_recorded","D","core","yes",1,1,0,0,1,"OBIS","large-cell lifeform validation; 55 um lower bound","6.1 and 12.3"
12,"DS11","PLET chlorophyll companions",17,"queued_open_subset_only","partially_open","resolve_licence_before_stage7_manifest_freeze","E","core","yes",123,19,103,1,123,"Cefas Data Hub/DASSH; EMODnet ERDDAP; GBIF; ICES Figshare; Marine Scotland; OBIS; PANGAEA; PLET","secondary comparator only","6.1"
13,"DS09","Sylt Roads",16.5,"queued_for_stage2_acquisition","open_route_archived","open_licence_recorded","D/E","core_margin","partial",92,92,0,0,38,"GBIF; OBIS; PANGAEA","external coastal sentinel; modern years semi-quantitative","6.1 and 12.3"
14,"DS24","OSPAR COMP4 COMPEAT inputs",16,"queued_for_stage2_acquisition","open_route_archived","open_licence_recorded","E","core","partial",1,1,0,0,1,"ICES Figshare","Tier E comparator and non-PhyC baseline candidate","12.2"
15,"DS27","COSYNA/Hereon FerryBox",16,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","E","core","partial",9,2,7,0,9,"Cefas Data Hub/DASSH; GBIF; ICES Figshare; PANGAEA; SMHI SHARK","Tier E; quantify timing blur introduced by monthly networks","12.2"
16,"DS28","LifeWatch Belgium HPLC pigments",15,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","E","core","yes",26,13,13,0,26,"Cefas Data Hub/DASSH; ICES Figshare; Marine Scotland; PANGAEA","Tier E lifeform comparator and triangulation for DS10","12.2"
17,"DS15","EMODnet presence/absence product",13,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","not_applicable","core","unknown",1,0,1,0,1,"EMODnet ERDDAP","coverage map and exploratory sensitivity only","6.2"
18,"DS22","HELCOM PEG_BVOL conversion authority",12,"queued_for_stage2_acquisition","open_route_archived","resolve_licence_before_stage7_manifest_freeze","not_applicable","core","no",1,0,1,0,1,"ICES Figshare","conversion authority for every Tier C carbon estimate","12.2"
19,"DS12","Continuous Plankton Recorder",11.5,"queued_for_stage2_acquisition","open_route_archived","open_licence_recorded","D/E","basin_scale","yes",2,2,0,0,2,"ICES Figshare; OBIS","only identified offshore evidence; coarse recurrence corroboration","6.2"
