"work_item_id","acquisition_rank","ds_id","work_state","adapter_id","monitoring_network","independence_unit","duplicate_family","observation_kind","stage2_tier","stage2_decision","stage2_analysis_role","stage3_scope","status_evidence_path","active_pin_paths","raw_manifest_paths","raw_manifest_state"
"REGISTER:DS06",1,"DS06","complete","screened_records","SMHI_SHARK","SMHI_SHARK","DS06","phytoplankton_taxon_records","A","pending","primary_reference","primary_candidate","metadata/stage2/screening/ds06_smhi_shark_screening_summary.csv","metadata/stage2/acquisition/ds06_smhi_shark_active_run.csv","data/raw/stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/manifest.csv","registered_stage2_checksums"
"REGISTER:DS26",2,"DS26","complete","screened_records","SMHI_IFCB","SMHI_IFCB","DS26","machine_classified_imaging","B","secondary","lifeform_only","lifeform_method_secondary","metadata/stage2/screening/ds26_smhi_ifcb_screening_summary.csv","metadata/stage2/acquisition/ds26_ifcb_reference_active_run.csv|metadata/stage2/acquisition/ds26_smhi_ifcb_active_run.csv","data/raw/stage2/ds26_ifcb_reference/DS26_IFCB_REFERENCE_20260808T200000Z/manifest.csv|data/raw/stage2/ds26_smhi_ifcb/DS26_SMHI_IFCB_20260808T195600Z/manifest.csv","registered_stage2_checksums"
"REGISTER:DS02",3,"DS02","complete","screened_records","RWS_MWTL","RWS_MWTL","RWS_MWTL","phytoplankton_taxon_records","A","pending","primary_reference","primary_candidate","metadata/stage2/screening/ds02_rws_screening_summary.csv","metadata/stage2/acquisition/ds02_rws_catalogue_active_run.csv|metadata/stage2/acquisition/ds02_rws_manual_export_active_run.csv|metadata/stage2/acquisition/ds02_rws_v3_access_active_run.csv","data/raw/stage2/ds02_rws/DS02_RWS_CATALOGUE_20260809T070000Z/manifest.csv|data/raw/stage2/ds02_rws/DS02_RWS_MANUAL_EXPORT_20260809T091700Z/manifest.csv","registered_stage2_checksums"
"REGISTER:DS04",4,"DS04","complete","plet_csv","BSH","BSH","DS04","phytoplankton_taxon_records","A","pending","primary_reference","primary_candidate","metadata/stage2/screening/ds04_plet_bsh_screening_summary.csv","metadata/stage2/acquisition/ds04_plet_bsh_active_run.csv","data/raw/stage2/ds04_plet_bsh/DS04_PLET_BSH_20260809T102924Z/manifest.csv","registered_stage2_checksums"
"REGISTER:DS05",5,"DS05","complete","plet_csv","NOVANA","NOVANA","DS05","phytoplankton_taxon_records","A","pending","primary_reference","primary_candidate","metadata/stage2/screening/ds05_plet_novana_screening_summary.csv","metadata/stage2/acquisition/ds05_plet_novana_active_run.csv","data/raw/stage2/ds05_plet_novana/DS05_PLET_NOVANA_20260809T103132Z/manifest.csv","registered_stage2_checksums"
"REGISTER:DS07",6,"DS07","complete","plet_csv","CEFAS_SMARTBUOY","CEFAS_SMARTBUOY","DS07","phytoplankton_taxon_records","A","pending","primary_reference","primary_candidate","metadata/stage2/screening/ds07_plet_cefas_screening_summary.csv","metadata/stage2/acquisition/ds07_plet_cefas_active_run.csv","data/raw/stage2/ds07_plet_cefas/DS07_PLET_CEFAS_20260809T103354Z/manifest.csv","registered_stage2_checksums"
"REGISTER:DS08",7,"DS08","unavailable","unavailable","AWI_HELGOLAND","AWI_HELGOLAND","DS08","contact_required_carbon_biovolume","A","not_assessed","unavailable","unavailable","metadata/stage2/control/access_dispositions.csv","metadata/stage2/acquisition/ds08_pangaea_abundance_active_run.csv","","unavailable_not_observation_evidence"
"REGISTER:DS03",8,"DS03","complete","eurobis_dwca","RWS_MWTL","RWS_MWTL","RWS_MWTL","aggregator_copy_taxon_records","C","pending","primary_reference","primary_candidate_duplicate_audit","metadata/stage2/screening/ds03_eurobis_screening_summary.csv","metadata/stage2/acquisition/ds03_eurobis_active_run.csv","data/raw/stage2/ds03_eurobis/DS03_EUROBIS_IPT_20260809T183011Z/manifest.csv","registered_stage2_checksums"
"REGISTER:DS23",9,"DS23","unavailable","unavailable","NIOZ_MARSDIEP","NIOZ_MARSDIEP","DS23","contact_required_taxon_records","C","not_assessed","unavailable","unavailable","metadata/stage2/control/access_dispositions.csv","","","unavailable_not_observation_evidence"
"REGISTER:DS16",10,"DS16","complete","plet_csv","MSS_STONEHAVEN","MSS_STONEHAVEN","DS16","phytoplankton_taxon_records","C","pending","primary_reference","primary_candidate","metadata/stage2/screening/ds16_plet_stonehaven_screening_summary.csv","metadata/stage2/acquisition/ds16_plet_stonehaven_active_run.csv","data/raw/stage2/ds16_plet_stonehaven/DS16_PLET_STONEHAVEN_20260809T105042Z/manifest.csv","registered_stage2_checksums"
