"work_item_id","acquisition_rank","ds_id","name","declared_tier","declared_domain","planned_role","licence_action","required_next_action","work_state","contract_version"
"REGISTER:DS06",1,"DS06","SMHI Kattegat/Skagerrak","A/B","transition","Tier A/B external-transfer reference","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS26",2,"DS26","SMHI IFCB imaging","B","transition","Tier B external-transfer and temporal-resolution benchmark","open_licence_recorded","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS02",3,"DS02","RWS phytoplankton","C","core","primary core if biomass conversion passes","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS04",4,"DS04","BSH phytoplankton","C","core","primary if Tier B/C, else lifeform validation","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS05",5,"DS05","NOVANA phytoplankton","C","core","primary or lifeform validation","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS07",6,"DS07","Cefas SmartBuoy","C","core","Tier C core for eligible North Sea stations","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS08",7,"DS08","Helgoland Roads","A","core_margin","Tier A sentinel; only identified source of lifeform carbon share","open_licence_recorded","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS03",8,"DS03","Dutch long-term monitoring","C","core","primary/core historical extension","open_licence_recorded","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS23",9,"DS23","NIOZ Wadden Sea phytoplankton","C","core_margin","external coastal sentinel; duplicate check against DS02/DS03","open_licence_recorded","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS16",10,"DS16","Scottish Coastal Observatory Stonehaven","C","core_margin","external-transfer validation; flow cytometry addresses pico/nano gap","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS10",11,"DS10","VLIZ LifeWatch FlowCam","D","core","large-cell lifeform validation; 55 um lower bound","open_licence_recorded","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS11",12,"DS11","PLET chlorophyll companions","E","core","secondary comparator only","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS09",13,"DS09","Sylt Roads","D/E","core_margin","external coastal sentinel; modern years semi-quantitative","open_licence_recorded","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS24",14,"DS24","OSPAR COMP4 COMPEAT inputs","E","core","Tier E comparator and non-PhyC baseline candidate","open_licence_recorded","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS27",15,"DS27","COSYNA/Hereon FerryBox","E","core","Tier E; quantify timing blur introduced by monthly networks","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS28",16,"DS28","LifeWatch Belgium HPLC pigments","E","core","Tier E lifeform comparator and triangulation for DS10","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS15",17,"DS15","EMODnet presence/absence product","not_applicable","core","coverage map and exploratory sensitivity only","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS22",18,"DS22","HELCOM PEG_BVOL conversion authority","not_applicable","core","conversion authority for every Tier C carbon estimate","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
"REGISTER:DS12",19,"DS12","Continuous Plankton Recorder","D/E","basin_scale","only identified offshore evidence; coarse recurrence corroboration","resolve_licence_before_stage7_manifest_freeze","acquire_highest_resolution_canonical_provider_record_then_screen","not_started","1.0.0"
