"date","change","rationale","affected_stages","decision_maker","approval_status","approval_reference","classification"
"2026-08-07","Assigned Skagerrak and Kattegat as external-transfer regions using ICES Area 27.3.a","Alignment with established ICES Area definitions to preserve the transition region as an explicit external-transfer unit","0|6|10","Zixia Liu","approved","Codex conversation approval statement received 2026-08-07T19:17Z","prospective amendment"
"2026-08-07","Adopted ICES Ecoregion Greater North Sea for the study domain","Provides an authoritative machine-readable marine boundary and resolves the earlier longitude-only proxy","0","Zixia Liu","approved","Codex conversation approval statement received 2026-08-07T19:17Z","prospective amendment"
"2026-08-07","Removed a separate GSHHG coastline mask","The frozen ICES marine polygons define inclusion and a separate coastline product would introduce a second unresolved boundary","0|9","Zixia Liu","approved","Codex conversation approval statement received 2026-08-07T19:17Z","prospective amendment"
"2026-08-07","Implemented a strict 5500 metre coastal tolerance with zero-distance shared boundaries and deterministic tie-breaks","Includes small coordinate/coastline discrepancies while preserving explicit unknown states outside the tolerance","0","Zixia Liu","approved","Codex conversation approval statement received 2026-08-07T19:17Z","prospective amendment"
"2026-08-07","Added collision_index to source-record IDs and UTC timestamps to sample IDs","Disambiguates repeated provider identifiers and prevents distinct same-day samples from colliding","0|2|3","Zixia Liu","approved","Codex conversation approval statement received 2026-08-07T19:17Z","prospective amendment"
"2026-08-07","Extended the Stage 1 source families to include PANGAEA and GBIF and the data.marine.gov.scot CKAN API and Cefas Data Hub/DASSH and ICES figshare","Search update MANUAL-20260807T195118Z identified eligible holdings reachable only through these services; broadening the search cannot bias the result toward a positive finding","1","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08 (supersedes an agent-generated auto-approval reference)","prospective amendment"
"2026-08-07","Added GBIF and DASSH to the aggregator deduplication rule","Several holdings publish to one aggregator and not the other so omitting either creates both false duplicates and false independence between monitoring networks","1|2","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08 (supersedes an agent-generated auto-approval reference)","prospective amendment"
"2026-08-07","Registered the HELCOM EG Phyto PEG_BVOL biovolume file as a versioned checksummed conversion authority","The file is republished annually so an unpinned copy makes every Tier C taxon-count-to-carbon estimate irreproducible and leaves conversion uncertainty unquantifiable","1|2|5","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08 (supersedes an agent-generated auto-approval reference)","prospective amendment"
"2026-08-07","Reclassified DS08 Helgoland Roads from public acquisition to request-and-verify","The PANGAEA series states CC-BY-4.0 effective after a moratorium and requires login while an inspected annual carbon dataset renders as licensing unknown with contact-the-PI terms; the affected years may be the CMEMS-overlap years","1|2","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08 (supersedes an agent-generated auto-approval reference)","prospective amendment"
"2026-08-07","Proposed excluding Copernicus in-situ TAC products from primary reference truth","Their chlorophyll streams inform the ocean-colour chain so treating them as independent observations would breach the assimilation boundary in docs/CONTEXT.md","1|2|4","Zixia Liu","approved","Principal-investigator confirmation by Zixia Liu, Claude Code session 2026-08-08 (supersedes an agent-generated auto-approval reference)","prospective amendment"
